architecture,workers,run,duration_seconds,total_events,events_per_second,mb_per_second
shard,1,1,192.79,10000000,51869.1,7.6
shard,1,2,196.84,10000000,50802.8,7.5
shard,1,3,186.11,10000000,53732.1,7.9
shard,2,1,87.30,10000000,114552.6,16.5
shard,2,2,85.09,10000000,117519.4,16.9
shard,2,3,101.99,10000000,98045.0,14.1
shard,4,1,39.55,10000000,252827.3,34.6
shard,4,2,41.70,10000000,239813.5,32.8
shard,4,3,50.31,10000000,198753.4,27.2
shard,8,1,30.16,10000000,331612.6,45.2
shard,8,2,28.95,10000000,345366.9,47.1
shard,8,3,29.71,10000000,336593.9,45.9
shard,16,1,26.98,10000000,370635.0,50.5
shard,16,2,26.08,10000000,383370.7,52.3
shard,16,3,28.51,10000000,350700.2,47.8
